id;prompt;category
144;Player who most recently rage-quit a game and immediately asked for a rematch;gaming
145;Last player who said 'one more game' and meant it the least;gaming
146;Player who most recently blamed their bad play on game balance;gaming
147;Last player who offered to teach the rules and then got them wrong;gaming
148;Player who has the most house rules memorized that nobody else agreed to;gaming
149;Last player who went all-in on a strategy and never recovered;gaming
150;Player who most recently asked 'wait whose turn is it?' when it was obviously theirs;gaming
151;Last player who pretended to understand the rules and hoped for the best;gaming
152;Player who most recently made a confident move and immediately regretted it;gaming
153;Last player who kept score wrong and blamed the pen;gaming
154;Player who most recently spent 10 minutes on their turn and still made the worst possible move;gaming
155;Last player who pulled the 'I was going easy on you' card after losing;gaming
50;Player with the most plants at home;home
79;Last player who changed a light bulb;home
80;Player with the most items in their fridge;home
87;Last player who tried to fix something with tape;home
98;Player with the most stickers on their laptop or notebook;home
168;Player who most recently panic-cleaned before guests arrived and hid things in a closet;home
177;Last player who aggressively reorganized something that was already fine;home
180;Player who most recently bought something 'for the house' that was clearly just for them;home
200;Player who most recently had strong feelings about the correct way to load a dishwasher;home
4;Most recent birthday;life events
32;Player who most recently changed jobs;life events
36;Player who most recently moved home;life events
40;Player whose birthday is coming up soonest;life events
72;Player who most recently went to a wedding;life events
17;Last player who sang out loud;music
41;Last player who attended a concert;music
67;Last player who whistled;music
16;Player whose name comes first alphabetically;names
1;Last player who went hiking;outdoors
26;Player who most recently rode a bike;outdoors
33;Last player who went swimming;outdoors
35;Last player who played a sport;outdoors
52;Player who most recently got rained on;outdoors
60;Player who most recently visited a beach;outdoors
78;Player who most recently ran;outdoors
27;Last player who made someone laugh;social
37;Last player who got a gift;social
45;Last player who went to a party;social
49;Last player who made a mistake and admitted it;social
56;Player who most recently cried from laughing;social
59;Last player who sent a handwritten note;social
63;Last player who hugged someone;social
64;Player who most recently bought flowers;social
69;Last player who donated something;social
77;Last player who got a compliment;social
83;Last player who argued about something and was wrong;social
85;Last player who helped a stranger;social
94;Player who most recently changed their mind about something;social
99;Last player who got surprised;social
100;Player who would win in a staring contest — everyone stares and last one to blink goes first;social
183;Last player who replied to a group chat 10 hours late as if the conversation was still live;social
184;Player who most recently tried to be subtle and completely failed;social
185;Last player who gave unsolicited advice that backfired immediately;social
186;Player who most recently forgot a name moments after being introduced;social
188;Player who most recently pretended to be busy to avoid a phone call;social
191;Last player who held a door open for someone who was way too far away;social
194;Player who most recently let the 'typing...' bubble appear and then said nothing;social
197;Last player who tried to explain a meme and killed it;social
6;Player who traveled farthest to get here;travel
20;Player who most recently visited a foreign country;travel
24;Player who traveled the longest distance this year;travel
42;Player who most recently stayed in a hotel;travel
65;Last player who got lost;travel
74;Player who lives farthest from here;travel
81;Last player who stayed somewhere with no Wi-Fi;travel
96;Player who most recently took public transport;travel
173;Last player who confidently said 'I know a shortcut' and made things worse;travel
195;Last player who planned an entire trip in their head and then didn't go;travel
201;Last player who pet a cat;daily life
202;Last player who played with a dog;daily life
